"","UNIT_CODE","County","Year","Month","Monthly_Med"
"284","ACAD","23009",1986,9,30
"285","ACAD","23009",1986,10,28
"286","ACAD","23009",1986,11,28
"287","ACAD","23009",1986,12,26.5
"288","ACAD","23009",1987,1,26.5
"289","ACAD","23009",1987,2,35
"290","ACAD","23009",1987,3,39
"291","ACAD","23009",1987,4,39
"292","ACAD","23009",1987,5,45
"293","ACAD","23009",1987,6,42.5
"294","ACAD","23009",1987,7,41
"295","ACAD","23009",1987,8,34
"296","ACAD","23009",1987,9,30.5
"297","ACAD","23009",1987,10,33
"298","ACAD","23009",1987,11,31
"299","ACAD","23009",1987,12,28
"300","ACAD","23009",1988,1,34
"301","ACAD","23009",1988,2,38
"302","ACAD","23009",1988,3,43
"303","ACAD","23009",1988,4,42.5
"304","ACAD","23009",1988,5,46
"305","ACAD","23009",1988,6,52.5
"306","ACAD","23009",1988,7,87
"307","ACAD","23009",1988,8,41
"308","ACAD","23009",1988,9,35
"309","ACAD","23009",1988,10,30
"310","ACAD","23009",1988,11,26.5
"311","ACAD","23009",1988,12,27
"312","ACAD","23009",1989,1,23.5
"313","ACAD","23009",1989,2,31.5
"314","ACAD","23009",1989,3,41
"315","ACAD","23009",1989,4,43
"316","ACAD","23009",1989,5,44
"317","ACAD","23009",1989,6,39
"318","ACAD","23009",1989,7,44
"319","ACAD","23009",1989,8,46
"320","ACAD","23009",1989,9,35
"321","ACAD","23009",1989,10,36
"322","ACAD","23009",1989,11,32
"323","ACAD","23009",1989,12,31
"324","ACAD","23009",1990,1,33
"325","ACAD","23009",1990,2,34
"326","ACAD","23009",1990,3,23
"327","ACAD","23009",1990,4,40
"328","ACAD","23009",1990,5,45
"329","ACAD","23009",1990,6,42
"330","ACAD","23009",1990,7,37
"331","ACAD","23009",1990,8,47
"332","ACAD","23009",1990,9,37
"333","ACAD","23009",1990,10,35
"334","ACAD","23009",1990,11,35
"335","ACAD","23009",1990,12,36
"336","ACAD","23009",1991,1,41
"337","ACAD","23009",1991,2,41.5
"338","ACAD","23009",1991,3,38
"339","ACAD","23009",1991,4,44
"340","ACAD","23009",1991,5,46
"341","ACAD","23009",1991,6,36
"342","ACAD","23009",1991,7,39
"343","ACAD","23009",1991,8,40
"344","ACAD","23009",1991,9,25
"345","ACAD","23009",1991,10,31
"346","ACAD","23009",1991,11,28
"347","ACAD","23009",1991,12,30
"348","ACAD","23009",1992,1,31
"349","ACAD","23009",1992,2,35
"350","ACAD","23009",1992,3,39
"351","ACAD","23009",1992,4,40
"352","ACAD","23009",1992,5,41
"353","ACAD","23009",1992,6,44
"354","ACAD","23009",1992,7,38
"355","ACAD","23009",1992,8,41
"356","ACAD","23009",1992,9,29.5
"357","ACAD","23009",1992,10,29
"358","ACAD","23009",1992,11,27
"359","ACAD","23009",1992,12,28.5
"360","ACAD","23009",1993,1,31.5
"361","ACAD","23009",1993,2,33
"362","ACAD","23009",1993,3,41
"363","ACAD","23009",1993,4,41
"364","ACAD","23009",1993,5,36
"365","ACAD","23009",1993,6,37
"366","ACAD","23009",1993,7,30.5
"367","ACAD","23009",1993,8,36
"368","ACAD","23009",1993,9,31
