Park,Year,SingleVisitorEntryFee,SingleVehicleEntry
Acadia NP,1980,NA,NA
Acadia NP,1981,NA,NA
Acadia NP,1982,NA,NA
Acadia NP,1983,NA,NA
Acadia NP,1984,NA,NA
Acadia NP,1985,NA,NA
Acadia NP,1986,NA,NA
Acadia NP,1987,NA,NA
Acadia NP,1988,NA,NA
Acadia NP,1989,NA,NA
Acadia NP,1990,NA,NA
Acadia NP,1991,NA,NA
Acadia NP,1992,NA,NA
Acadia NP,1993,NA,NA
Acadia NP,1994,NA,NA
Acadia NP,1995,NA,NA
Acadia NP,1996,NA,NA
Acadia NP,1997,3,5
Acadia NP,1998,3,5
Acadia NP,1999,5,10
Acadia NP,2000,5,10
Acadia NP,2001,5,10
Acadia NP,2002,5,10
Acadia NP,2003,5,10
Acadia NP,2004,5,20
Acadia NP,2005,5,20
Acadia NP,2006,5,20
Acadia NP,2007,5,20
Acadia NP,2008,5,20
Acadia NP,2009,5,20
Acadia NP,2010,5,20
Acadia NP,2011,5,20
Acadia NP,2012,5,20
Acadia NP,2013,5,20
Acadia NP,2014,5,20
Acadia NP,2015,12,25
Acadia NP,2016,12,25
Acadia NP,2017,12,25
Acadia NP,2018,15,30
Arches NP,1980,NA,NA
Arches NP,1981,NA,NA
Arches NP,1982,NA,NA
Arches NP,1983,NA,NA
Arches NP,1984,NA,NA
Arches NP,1985,NA,NA
Arches NP,1986,NA,NA
Arches NP,1987,NA,NA
Arches NP,1988,NA,NA
Arches NP,1989,NA,NA
Arches NP,1990,NA,NA
Arches NP,1991,NA,NA
Arches NP,1992,NA,NA
Arches NP,1993,NA,NA
Arches NP,1994,NA,NA
Arches NP,1995,NA,NA
Arches NP,1996,NA,NA
Arches NP,1997,5,10
Arches NP,1998,5,10
Arches NP,1999,5,10
Arches NP,2000,5,10
Arches NP,2001,5,10
Arches NP,2002,5,10
Arches NP,2003,5,10
Arches NP,2004,5,10
Arches NP,2005,5,10
Arches NP,2006,5,10
Arches NP,2007,5,10
Arches NP,2008,5,10
Arches NP,2009,5,10
Arches NP,2010,5,10
Arches NP,2011,5,10
Arches NP,2012,5,10
Arches NP,2013,5,10
Arches NP,2014,5,10
Arches NP,2015,5,10
Arches NP,2016,10,25
Arches NP,2017,10,25
Arches NP,2018,15,30
Badlands NP,1980,NA,NA
Badlands NP,1981,NA,NA
Badlands NP,1982,NA,NA
Badlands NP,1983,NA,NA
Badlands NP,1984,NA,NA
Badlands NP,1985,NA,NA
Badlands NP,1986,NA,NA
Badlands NP,1987,NA,NA
Badlands NP,1988,NA,NA
Badlands NP,1989,NA,NA
Badlands NP,1990,NA,NA
Badlands NP,1991,NA,NA
Badlands NP,1992,NA,NA
Badlands NP,1993,NA,NA
Badlands NP,1994,NA,NA
Badlands NP,1995,NA,NA
Badlands NP,1996,NA,NA
Badlands NP,1997,5,10
Badlands NP,1998,5,10
Badlands NP,1999,5,10
Badlands NP,2000,5,10
Badlands NP,2001,5,10
Badlands NP,2002,5,10
Badlands NP,2003,5,10
Badlands NP,2004,5,10
Badlands NP,2005,5,10
Badlands NP,2006,7,15
Badlands NP,2007,7,15
Badlands NP,2008,7,15
Badlands NP,2009,7,15
Badlands NP,2010,7,15
Badlands NP,2011,7,15
Badlands NP,2012,7,15
Badlands NP,2013,7,15
Badlands NP,2014,7,15
Badlands NP,2015,7,15
Badlands NP,2016,7,15
Badlands NP,2017,10,20
Badlands NP,2018,10,20
Big Bend NP,1980,NA,NA
Big Bend NP,1981,NA,NA
Big Bend NP,1982,NA,NA
Big Bend NP,1983,NA,NA
Big Bend NP,1984,NA,NA
Big Bend NP,1985,NA,NA
Big Bend NP,1986,NA,NA
Big Bend NP,1987,NA,NA
Big Bend NP,1988,NA,NA
Big Bend NP,1989,NA,NA
Big Bend NP,1990,NA,NA
Big Bend NP,1991,NA,NA
Big Bend NP,1992,NA,NA
Big Bend NP,1993,NA,NA
Big Bend NP,1994,NA,NA
Big Bend NP,1995,NA,NA
Big Bend NP,1996,NA,NA
Big Bend NP,1997,5,10
Big Bend NP,1998,5,10
Big Bend NP,1999,5,10
Big Bend NP,2000,5,10
Big Bend NP,2001,5,10
Big Bend NP,2002,5,10
Big Bend NP,2003,5,15
Big Bend NP,2004,5,15
Big Bend NP,2005,5,15
Big Bend NP,2006,5,15
Big Bend NP,2007,10,20
Big Bend NP,2008,10,20
Big Bend NP,2009,10,20
Big Bend NP,2010,10,20
Big Bend NP,2011,10,20
Big Bend NP,2012,10,20
Big Bend NP,2013,10,20
Big Bend NP,2014,10,20
Big Bend NP,2015,10,25
Big Bend NP,2016,12,25
Big Bend NP,2017,12,25
Big Bend NP,2018,15,30
Biscayne NP,1980,NA,NA
Biscayne NP,1981,NA,NA
Biscayne NP,1982,NA,NA
Biscayne NP,1983,NA,NA
Biscayne NP,1984,NA,NA
Biscayne NP,1985,NA,NA
Biscayne NP,1986,NA,NA
Biscayne NP,1987,NA,NA
Biscayne NP,1988,NA,NA
Biscayne NP,1989,NA,NA
Biscayne NP,1990,NA,NA
Biscayne NP,1991,NA,NA
Biscayne NP,1992,NA,NA
Biscayne NP,1993,NA,NA
Biscayne NP,1994,NA,NA
Biscayne NP,1995,NA,NA
Biscayne NP,1996,NA,NA
Biscayne NP,1997,NA,NA
Biscayne NP,1998,NA,NA
Biscayne NP,1999,NA,NA
Biscayne NP,2000,0,0
Biscayne NP,2001,0,0
Biscayne NP,2002,0,0
Biscayne NP,2003,0,0
Biscayne NP,2004,0,0
Biscayne NP,2005,0,0
Biscayne NP,2006,0,0
Biscayne NP,2007,0,0
Biscayne NP,2008,0,0
Biscayne NP,2009,0,0
Biscayne NP,2010,0,0
Biscayne NP,2011,0,0
Biscayne NP,2012,0,0
Biscayne NP,2013,0,0
Biscayne NP,2014,0,0
Biscayne NP,2015,0,0
Biscayne NP,2016,0,0
Biscayne NP,2017,0,0
Biscayne NP,2018,0,0
Black Canyon of the Gunnison NP,1980,NA,NA
Black Canyon of the Gunnison NP,1981,NA,NA
Black Canyon of the Gunnison NP,1982,NA,NA
Black Canyon of the Gunnison NP,1983,NA,NA
Black Canyon of the Gunnison NP,1984,NA,NA
Black Canyon of the Gunnison NP,1985,NA,NA
Black Canyon of the Gunnison NP,1986,NA,NA
Black Canyon of the Gunnison NP,1987,NA,NA
Black Canyon of the Gunnison NP,1988,NA,NA
Black Canyon of the Gunnison NP,1989,NA,NA
Black Canyon of the Gunnison NP,1990,NA,NA
Black Canyon of the Gunnison NP,1991,NA,NA
Black Canyon of the Gunnison NP,1992,NA,NA
Black Canyon of the Gunnison NP,1993,NA,NA
Black Canyon of the Gunnison NP,1994,NA,NA
Black Canyon of the Gunnison NP,1995,NA,NA
Black Canyon of the Gunnison NP,1996,NA,NA
Black Canyon of the Gunnison NP,1997,4,7
Black Canyon of the Gunnison NP,1998,4,7
Black Canyon of the Gunnison NP,1999,4,7
Black Canyon of the Gunnison NP,2000,4,7
Black Canyon of the Gunnison NP,2001,4,7
Black Canyon of the Gunnison NP,2002,4,7
Black Canyon of the Gunnison NP,2003,4,7
Black Canyon of the Gunnison NP,2004,4,8
Black Canyon of the Gunnison NP,2005,4,8
Black Canyon of the Gunnison NP,2006,4,8
Black Canyon of the Gunnison NP,2007,7,15
Black Canyon of the Gunnison NP,2008,7,15
Black Canyon of the Gunnison NP,2009,7,15
Black Canyon of the Gunnison NP,2010,7,15
Black Canyon of the Gunnison NP,2011,7,15
Black Canyon of the Gunnison NP,2012,7,15
Black Canyon of the Gunnison NP,2013,7,15
Black Canyon of the Gunnison NP,2014,7,15
Black Canyon of the Gunnison NP,2015,7,15
Black Canyon of the Gunnison NP,2016,7,15
Black Canyon of the Gunnison NP,2017,7,15
Black Canyon of the Gunnison NP,2018,7,15
Bryce Canyon NP,1980,NA,NA
Bryce Canyon NP,1981,NA,NA
Bryce Canyon NP,1982,NA,NA
Bryce Canyon NP,1983,NA,NA
Bryce Canyon NP,1984,NA,NA
Bryce Canyon NP,1985,NA,NA
Bryce Canyon NP,1986,NA,NA
Bryce Canyon NP,1987,NA,NA
Bryce Canyon NP,1988,NA,NA
Bryce Canyon NP,1989,NA,NA
Bryce Canyon NP,1990,NA,NA
Bryce Canyon NP,1991,NA,NA
Bryce Canyon NP,1992,NA,NA
Bryce Canyon NP,1993,NA,NA
Bryce Canyon NP,1994,NA,NA
Bryce Canyon NP,1995,NA,NA
Bryce Canyon NP,1996,NA,NA
Bryce Canyon NP,1997,5,10
Bryce Canyon NP,1998,5,10
Bryce Canyon NP,1999,5,10
Bryce Canyon NP,2000,10,20
Bryce Canyon NP,2001,10,20
Bryce Canyon NP,2002,10,20
Bryce Canyon NP,2003,10,20
Bryce Canyon NP,2004,10,20
Bryce Canyon NP,2005,10,20
Bryce Canyon NP,2006,10,20
Bryce Canyon NP,2007,12,25
Bryce Canyon NP,2008,12,25
Bryce Canyon NP,2009,12,25
Bryce Canyon NP,2010,12,25
Bryce Canyon NP,2011,12,25
Bryce Canyon NP,2012,12,25
Bryce Canyon NP,2013,12,25
Bryce Canyon NP,2014,12,25
Bryce Canyon NP,2015,15,30
Bryce Canyon NP,2016,15,30
Bryce Canyon NP,2017,15,30
Bryce Canyon NP,2018,20,35
Canyonlands NP,1980,NA,NA
Canyonlands NP,1981,NA,NA
Canyonlands NP,1982,NA,NA
Canyonlands NP,1983,NA,NA
Canyonlands NP,1984,NA,NA
Canyonlands NP,1985,NA,NA
Canyonlands NP,1986,NA,NA
Canyonlands NP,1987,NA,NA
Canyonlands NP,1988,NA,NA
Canyonlands NP,1989,NA,NA
Canyonlands NP,1990,NA,NA
Canyonlands NP,1991,NA,NA
Canyonlands NP,1992,NA,NA
Canyonlands NP,1993,NA,NA
Canyonlands NP,1994,NA,NA
Canyonlands NP,1995,NA,NA
Canyonlands NP,1996,NA,NA
Canyonlands NP,1997,5,10
Canyonlands NP,1998,5,10
Canyonlands NP,1999,5,10
Canyonlands NP,2000,5,10
Canyonlands NP,2001,5,10
Canyonlands NP,2002,5,10
Canyonlands NP,2003,5,10
Canyonlands NP,2004,5,10
Canyonlands NP,2005,5,10
Canyonlands NP,2006,5,10
Canyonlands NP,2007,5,10
Canyonlands NP,2008,5,10
Canyonlands NP,2009,5,10
Canyonlands NP,2010,5,10
Canyonlands NP,2011,5,10
Canyonlands NP,2012,5,10
Canyonlands NP,2013,5,10
Canyonlands NP,2014,5,10
Canyonlands NP,2015,5,10
Canyonlands NP,2016,10,25
Canyonlands NP,2017,10,25
Canyonlands NP,2018,15,30
Capitol Reef NP,1980,NA,NA
Capitol Reef NP,1981,NA,NA
Capitol Reef NP,1982,NA,NA
Capitol Reef NP,1983,NA,NA
Capitol Reef NP,1984,NA,NA
Capitol Reef NP,1985,NA,NA
Capitol Reef NP,1986,NA,NA
Capitol Reef NP,1987,NA,NA
Capitol Reef NP,1988,NA,NA
Capitol Reef NP,1989,NA,NA
Capitol Reef NP,1990,NA,NA
Capitol Reef NP,1991,NA,NA
Capitol Reef NP,1992,NA,NA
Capitol Reef NP,1993,NA,NA
Capitol Reef NP,1994,NA,NA
Capitol Reef NP,1995,NA,NA
Capitol Reef NP,1996,NA,NA
Capitol Reef NP,1997,2,4
Capitol Reef NP,1998,2,4
Capitol Reef NP,1999,NA,4
Capitol Reef NP,2000,NA,4
Capitol Reef NP,2001,NA,4
Capitol Reef NP,2002,NA,5
Capitol Reef NP,2003,NA,5
Capitol Reef NP,2004,NA,5
Capitol Reef NP,2005,NA,5
Capitol Reef NP,2006,NA,5
Capitol Reef NP,2007,3,5
Capitol Reef NP,2008,3,5
Capitol Reef NP,2009,3,5
Capitol Reef NP,2010,3,5
Capitol Reef NP,2011,3,5
Capitol Reef NP,2012,3,5
Capitol Reef NP,2013,3,5
Capitol Reef NP,2014,3,5
Capitol Reef NP,2015,3,5
Capitol Reef NP,2016,7,10
Capitol Reef NP,2017,7,10
Capitol Reef NP,2018,7,15
Carlsbad Caverns NP,1980,NA,NA
Carlsbad Caverns NP,1981,NA,NA
Carlsbad Caverns NP,1982,NA,NA
Carlsbad Caverns NP,1983,NA,NA
Carlsbad Caverns NP,1984,NA,NA
Carlsbad Caverns NP,1985,NA,NA
Carlsbad Caverns NP,1986,NA,NA
Carlsbad Caverns NP,1987,NA,NA
Carlsbad Caverns NP,1988,NA,NA
Carlsbad Caverns NP,1989,NA,NA
Carlsbad Caverns NP,1990,NA,NA
Carlsbad Caverns NP,1991,NA,NA
Carlsbad Caverns NP,1992,NA,NA
Carlsbad Caverns NP,1993,NA,NA
Carlsbad Caverns NP,1994,NA,NA
Carlsbad Caverns NP,1995,NA,NA
Carlsbad Caverns NP,1996,NA,NA
Carlsbad Caverns NP,1997,6,NA
Carlsbad Caverns NP,1998,6,NA
Carlsbad Caverns NP,1999,6,NA
Carlsbad Caverns NP,2000,6,NA
