"","X1","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"147",1461,"BIBE",1984,"09","Big Bend NP",7683,1.31459965135861e-09,-0.0780453669712715,"Fall","BIBEFall","BIBE09"
"148",1471,"BIBE",1985,"07","Big Bend NP",10093,2.43018316581356e-09,0.243900185252367,"Summer","BIBESummer","BIBE07"
"149",1481,"BIBE",1986,"05","Big Bend NP",18883,2.50134402079993e-09,0.264436452110421,"Spring","BIBESpring","BIBE05"
"150",1491,"BIBE",1987,"03","Big Bend NP",30745,2.04899008870996e-09,0.133891912342466,"Spring","BIBESpring","BIBE03"
"151",1501,"BIBE",1988,"01","Big Bend NP",7488,1.69864888821536e-09,0.0327871633044404,"Winter","BIBEWinter","BIBE01"
"152",1511,"BIBE",1988,"11","Big Bend NP",22089,1.83696580169368e-09,0.0727039552923568,"Fall","BIBEFall","BIBE11"
"153",1521,"BIBE",1989,"09","Big Bend NP",16539,1.0280173379229e-09,-0.160749978469287,"Fall","BIBEFall","BIBE09"
"154",1531,"BIBE",1990,"07","Big Bend NP",12267,3.1577922499082e-09,0.453880438049697,"Summer","BIBESummer","BIBE07"
"155",1541,"BIBE",1991,"05","Big Bend NP",24502,2.71684763575308e-09,0.326628506244692,"Spring","BIBESpring","BIBE05"
"156",1551,"BIBE",1992,"03","Big Bend NP",35180,1.06471209626591e-09,-0.150160260993742,"Spring","BIBESpring","BIBE03"
"157",1561,"BIBE",1993,"01","Big Bend NP",26182,1.50588719272093e-09,-0.022841814445235,"Winter","BIBEWinter","BIBE01"
"158",1571,"BIBE",1993,"11","Big Bend NP",31317,1.85172177591397e-09,0.0769623727101421,"Fall","BIBEFall","BIBE11"
"159",1581,"BIBE",1994,"09","Big Bend NP",17816,1.51378320989437e-09,-0.0205631077627394,"Fall","BIBEFall","BIBE09"
"160",1591,"BIBE",1995,"07","Big Bend NP",17250,1.47362588798217e-09,-0.0321520843040091,"Summer","BIBESummer","BIBE07"
"161",1601,"BIBE",1996,"05","Big Bend NP",28018,3.14812420576516e-09,0.451090343206754,"Spring","BIBESpring","BIBE05"
"162",1611,"BIBE",1997,"03","Big Bend NP",49984,2.12756523509938e-09,0.156567864942711,"Spring","BIBESpring","BIBE03"
"163",1621,"BIBE",1998,"01","Big Bend NP",27089,1.16629206292629e-09,-0.120845361627097,"Winter","BIBEWinter","BIBE01"
"164",1631,"BIBE",1998,"11","Big Bend NP",27028,8.93069840302019e-10,-0.199694392831648,"Fall","BIBEFall","BIBE11"
"165",1641,"BIBE",1999,"09","Big Bend NP",16658,1.28126154130825e-09,-0.0876663914048384,"Fall","BIBEFall","BIBE09"
"166",1651,"BIBE",2000,"07","Big Bend NP",16393,3.1655018606358e-09,0.456105349811986,"Summer","BIBESummer","BIBE07"
"167",1661,"BIBE",2001,"05","Big Bend NP",36080,2.9347169139271e-09,0.389503265655753,"Spring","BIBESpring","BIBE05"
"168",1671,"BIBE",2002,"03","Big Bend NP",54004,3.38750338890748e-09,0.520172632707286,"Spring","BIBESpring","BIBE03"
"169",1681,"BIBE",2003,"01","Big Bend NP",27725,1.34594035916535e-09,-0.0690007716082337,"Winter","BIBEWinter","BIBE01"
"170",1691,"BIBE",2003,"11","Big Bend NP",30981,1.29871868814746e-09,-0.0826284442618632,"Fall","BIBEFall","BIBE11"
"171",1701,"BIBE",2004,"09","Big Bend NP",24288,6.62408461415964e-10,-0.266260816626839,"Fall","BIBEFall","BIBE09"
"172",1711,"BIBE",2005,"07","Big Bend NP",17881,4.38784741874088e-09,0.808861293776003,"Summer","BIBESummer","BIBE07"
