"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State"
"138","ACAD","1991","06","Acadia NP",295348,1.08443298785232e-09,-0.288938042325742,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"139","ACAD","1991","07","Acadia NP",574529,4.30192520495254e-10,-0.666551741024456,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"140","ACAD","1991","08","Acadia NP",640990,2.40786307559304e-10,-0.775872983276848,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"141","ACAD","1991","09","Acadia NP",377904,2.27453930690125e-10,-0.783568147965076,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"142","ACAD","1991","10","Acadia NP",224497,2.18981804911422e-10,-0.788458078977844,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"143","ACAD","1991","11","Acadia NP",45518,2.55212795341464e-10,-0.767546321013568,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"144","ACAD","1991","12","Acadia NP",13535,2.39290975923012e-10,-0.776736056929633,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"145","ACAD","1992","01","Acadia NP",17510,2.74131106703379e-10,-0.756627073606929,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"146","ACAD","1992","02","Acadia NP",21110,2.50802351109414e-10,-0.7700919357263,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"147","ACAD","1992","03","Acadia NP",30312,3.09301528833572e-10,-0.736327453134004,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"148","ACAD","1992","04","Acadia NP",63276,5.67147717678296e-10,-0.587504110765176,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"149","ACAD","1992","05","Acadia NP",164400,3.71137148791334e-10,-0.700637246965766,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"150","ACAD","1992","06","Acadia NP",262173,3.21699278327259e-10,-0.72917173551115,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"151","ACAD","1992","07","Acadia NP",539109,2.32270883082641e-10,-0.780787905378216,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"152","ACAD","1992","08","Acadia NP",615843,2.1059254340372e-10,-0.793300182493806,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"153","ACAD","1992","09","Acadia NP",391798,1.92051347047695e-10,-0.804001767130692,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"154","ACAD","1992","10","Acadia NP",211573,2.73722183807834e-10,-0.756863095214845,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"155","ACAD","1992","11","Acadia NP",46316,3.52650242341213e-10,-0.71130749662233,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"156","ACAD","1992","12","Acadia NP",18693,3.44924588890905e-10,-0.715766579665634,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"157","ACAD","1993","01","Acadia NP",19402,2.7192426088618e-10,-0.757900818129118,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"158","ACAD","1993","02","Acadia NP",15556,2.80900136484519e-10,-0.752720133422407,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"159","ACAD","1993","03","Acadia NP",29040,4.54096038549068e-10,-0.652755138223844,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"160","ACAD","1993","04","Acadia NP",57707,8.49809944636348e-10,-0.424357478403483,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"161","ACAD","1993","05","Acadia NP",192823,6.19326867568049e-10,-0.557387413972602,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"162","ACAD","1993","06","Acadia NP",300647,4.25378565704904e-10,-0.669330253459029,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"163","ACAD","1993","07","Acadia NP",586449,2.58291554811052e-10,-0.765769326454654,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
